Nome,Preço,Vendedor,Link
Celular Apple iPhone 13 128GB Câmera Dupla,"R$ 3.549,00",Menor preço via Fast Shop,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-128gb-ios?_lc=11
Smartphone Apple iPhone 13 Pro Usado 128GB Câmera Tripla,"R$ 3.661,19",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-usado-128gb-camera-tripla?_lc=11
Smartphone Apple iPhone 12 Pro Usado 256GB Câmera Tripla,"R$ 3.679,00",Menor preço via Trocafone,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-pro-usado-256gb-camera-tripla?_lc=11
Smartphone Apple iPhone 13 Usado 512GB Câmera Dupla,"R$ 3.748,59",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-usado-512gb-camera-dupla?_lc=11
Smartphone Apple iPhone 14 Plus Usado 256GB Câmera Dupla,"R$ 3.769,70",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-usado-256gb-camera-dupla?_lc=11
Smartphone Apple iPhone 13 Pro Usado 256GB Câmera Tripla,"R$ 3.835,99",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-usado-256gb-camera-tripla?_lc=11
Smartphone Apple iPhone 12 Pro Max Usado 256GB Câmera Tripla,"R$ 3.912,30",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-pro-max-usado-256gb-camera-tripla?_lc=11
Celular Apple iPhone 14 128GB Câmera Dupla,"R$ 3.999,00",Menor preço via Fast Shop,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 11 Vermelho 256GB Câmera Dupla,"R$ 3.999,00",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-11-vermelho-256gb-ios?_lc=11
Smartphone Apple iPhone XS Max 64GB Câmera Dupla,"R$ 4.049,10",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-xs-max-64gb-4g?_lc=11
Smartphone Apple iPhone 14 Pro Usado 6GB RAM 128GB,"R$ 4.094,60",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-usado-6gb-ram-128gb-camera-tripla?_lc=11
Smartphone Apple iPhone 14 Plus 128GB Câmera Dupla,"R$ 4.199,00",Menor preço via Fast Shop,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-128gb-camera-dupla?_lc=11
