Nome,Preço,Vendedor,Link
Smartphone Apple iPhone SE 3 256GB 12.0 MP,"R$ 5.299,00",Menor preço via Amazon,https://www.zoom.com.br/celular/smartphone-apple-iphone-se-3-256gb-ios-12-0-mp?_lc=11
Smartphone Apple iPhone 14 Pro 1TB Câmera Tripla,"R$ 8.199,00",Menor preço via Extra,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-1tb-camera-tripla?_lc=11
Smartphone Apple iPhone 14 Pro 128GB Câmera Tripla,"R$ 7.999,00",Menor preço via MService,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-128gb-camera-tripla?_lc=11
Celular Apple iPhone 13 128GB Câmera Dupla,"R$ 3.549,00",Menor preço via Fast Shop,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-128gb-ios?_lc=11
Smartphone Apple iPhone 13 Vermelho 256GB Câmera Dupla,"R$ 4.499,10",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/pre-venda-smartphone-apple-iphone-13-vermelho-256gb-ios?_lc=11
Smartphone Apple iPhone 13 Pro 256GB Câmera Tripla,"R$ 10.142,00",Menor preço via Amazon,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-256gb-ios-camera-tripla?_lc=11
Smartphone Apple iPhone 14 vermelho 512GB Câmera Dupla,"R$ 6.049,99",Menor preço via Pontofrio,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-vermelho-512gb-camera-dupla?_lc=11
Smartphone Apple iPhone 14 256GB Câmera Dupla,"R$ 4.699,00",Menor preço via Pontofrio,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-256gb-camera-dupla?_lc=11
Smartphone Apple iPhone 13 Vermelho 128GB Câmera Dupla,"R$ 5.219,10",Menor preço via Amazon,https://www.zoom.com.br/celular/pre-venda-smartphone-apple-iphone-13-vermelho-128gb-ios?_lc=11
Celular Apple iPhone 15 Pro 128GB Câmera Tripla,"R$ 6.649,05",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-8gb-ram-128gb-camera-tripla?_lc=11
