Frequência,Nome,Preço,Link
2,Smartphone Apple iPhone 14 Pro Max 512GB Câmera Tripla,"R$ 9.499,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-max-512gb-camera-tripla?_lc=11
2,Smartphone Apple iPhone 15 512GB Câmera Dupla,"R$ 6.299,99",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-iphone-512gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 14 Plus vermelho 256GB Câmera Dupla,"R$ 4.799,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-vermelho-256gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 14 Pro 512GB Câmera Tripla,"R$ 7.755,90",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-512gb-camera-tripla?_lc=11
2,Smartphone Apple iPhone 13 Pro 512GB Câmera Tripla,"R$ 6.649,99",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-512gb-ios-camera-tripla?_lc=11
2,Smartphone Apple iPhone 15 Pro 1TB Câmera Tripla,"R$ 9.399,99",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-8-gb-ram-1tb-camera-tripla?_lc=11
2,Smartphone Apple iPhone 11 Pro Max Usado 64GB Câmera Tripla,"R$ 2.629,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-11-pro-max-usado-64gb-ios?_lc=11
2,Smartphone Apple iPhone 14 Plus Usado 256GB Câmera Dupla,"R$ 3.769,70",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-usado-256gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,"R$ 10.142,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-max-128gb-ios-camera-tripla?_lc=11
2,Smartphone Apple iPhone 15 Plus 512GB Câmera Dupla,"R$ 7.099,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-plus-iphone-512gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 13 512GB Câmera Dupla,"R$ 5.129,99",https://www.zoom.com.br/celular/pre-venda-smartphone-apple-iphone-13-512gb-ios?_lc=11
2,Smartphone Apple iPhone 11 Vermelho Usado 128GB Câmera Dupla,"R$ 2.074,85",https://www.zoom.com.br/celular/smartphone-apple-iphone-11-vermelho-usado-128gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 13 Mini Usado 256GB Câmera Dupla,"R$ 2.820,65",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-mini-usado-256gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 12 Usado 256GB Câmera Dupla,"R$ 2.999,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-usado-256gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 14 Pro 1TB Câmera Tripla,"R$ 8.199,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-1tb-camera-tripla?_lc=11
2,Smartphone Apple iPhone 13 Pro 128GB Câmera Tripla,"R$ 9.176,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-128gb-ios-camera-tripla?_lc=11
2,Smartphone Apple iPhone 14 Usado 256GB Câmera Dupla,"R$ 3.410,60",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-usado-256gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 13 Pro 256GB Câmera Tripla,"R$ 10.142,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-256gb-ios-camera-tripla?_lc=11
2,Smartphone Apple iPhone 12 Mini Usado 256GB Câmera Dupla,"R$ 2.564,10",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-mini-usado-256gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 12 Mini Usado 64GB Câmera Dupla,"R$ 1.988,10",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-mini-usado-64gb-camera-dupla?_lc=11
